Target,slope_all,p_value_all,ci_width_all,slope_before,p_value_before,ci_width_before,slope_after,p_value_after,ci_width_after,num_years_all,num_years_before,num_years_after
SHRD,-0.0643970893532338,0.000331931666173,0.033097486920433,-0.0791731351926301,0.0011208647209651,0.0455180814695743,-0.0495543649431362,0.0304851815016869,0.0446395488114426,41,41,41
D200,5.223016510164263e-09,0.59758512660748,1.9849543063539527e-08,-1.400107215024656e-08,0.3701662166360585,3.1236114162770086e-08,8.227169299446399e-09,0.4130970557324023,2.01147028471599e-08,41,41,41
TPW,-0.2815561866502089,1.0111376991210114e-05,0.1123776363476161,-0.0313944759261776,0.206260878076218,0.0494050451436819,-0.3883693014031007,1.966367283617744e-05,0.1617453443023928,41,41,41
PC2,-0.8413130153778433,0.0086988951684106,0.614473493768588,0.5299175104015291,0.064774500574869,0.5641692479790671,-1.3579496591579994,0.0001348805809291,0.6429914920284885,37,37,37
SDBT,0.0880475642362893,7.049403357303765e-07,0.0300459893160381,0.0684231680921026,0.0003858818149325,0.0355686001438785,0.1001541246675023,5.734090761816225e-06,0.0384881316751695,40,40,40
POT,-0.2692954009600191,0.0622367980705133,0.2837477738014677,-0.2898544367410705,0.0042208591762074,0.1929057681365237,-0.1623456583540797,0.4181048939854908,0.4012433386029558,41,41,41
CFLX,0.0755776893710181,0.9066879650809596,1.295715416907688,-0.385439603363842,0.4759561583614149,1.083153756752035,0.6472489936661676,0.4074754971490089,1.56340983261392,41,41,41
VMPI,0.3386962392280506,0.0054185263304007,0.2326092817167316,0.1680335700669197,0.0411202720591787,0.1609081620201669,0.3378197426753668,0.0455764914362179,0.3308345239246978,41,41,41
SHRD,-0.0643970893532338,0.000331931666173,0.033097486920433,-0.0791731351926301,0.0011208647209651,0.0455180814695743,-0.0495543649431362,0.0304851815016869,0.0446395488114426,41,41,41
D200,5.223016510164263e-09,0.59758512660748,1.9849543063539527e-08,-1.400107215024656e-08,0.3701662166360585,3.1236114162770086e-08,8.227169299446399e-09,0.4130970557324023,2.01147028471599e-08,41,41,41
TPW,-0.2815561866502089,1.0111376991210114e-05,0.1123776363476161,-0.0313944759261776,0.206260878076218,0.0494050451436819,-0.3883693014031007,1.966367283617744e-05,0.1617453443023928,41,41,41
PC2,-0.8413130153778433,0.0086988951684106,0.614473493768588,0.5299175104015291,0.064774500574869,0.5641692479790671,-1.3579496591579994,0.0001348805809291,0.6429914920284885,37,37,37
SDBT,0.0880475642362893,7.049403357303765e-07,0.0300459893160381,0.0684231680921026,0.0003858818149325,0.0355686001438785,0.1001541246675023,5.734090761816225e-06,0.0384881316751695,40,40,40
POT,-0.2692954009600191,0.0622367980705133,0.2837477738014677,-0.2898544367410705,0.0042208591762074,0.1929057681365237,-0.1623456583540797,0.4181048939854908,0.4012433386029558,41,41,41
CFLX,0.0755776893710181,0.9066879650809596,1.295715416907688,-0.385439603363842,0.4759561583614149,1.083153756752035,0.6472489936661676,0.4074754971490089,1.56340983261392,41,41,41
VMPI,0.3386962392280506,0.0054185263304007,0.2326092817167316,0.1680335700669197,0.0411202720591787,0.1609081620201669,0.3378197426753668,0.0455764914362179,0.3308345239246978,41,41,41
SHRD,-0.0643970893532338,0.000331931666173,0.033097486920433,-0.0791731351926301,0.0011208647209651,0.0455180814695743,-0.0495543649431362,0.0304851815016869,0.0446395488114426,41,41,41
D200,5.223016510164263e-09,0.59758512660748,1.9849543063539527e-08,-1.400107215024656e-08,0.3701662166360585,3.1236114162770086e-08,8.227169299446399e-09,0.4130970557324023,2.01147028471599e-08,41,41,41
TPW,-0.2815561866502089,1.0111376991210114e-05,0.1123776363476161,-0.0313944759261776,0.206260878076218,0.0494050451436819,-0.3883693014031007,1.966367283617744e-05,0.1617453443023928,41,41,41
PC2,-0.8413130153778433,0.0086988951684106,0.614473493768588,0.5299175104015291,0.064774500574869,0.5641692479790671,-1.3579496591579994,0.0001348805809291,0.6429914920284885,37,37,37
SDBT,0.0880475642362893,7.049403357303765e-07,0.0300459893160381,0.0684231680921026,0.0003858818149325,0.0355686001438785,0.1001541246675023,5.734090761816225e-06,0.0384881316751695,40,40,40
POT,-0.2692954009600191,0.0622367980705133,0.2837477738014677,-0.2898544367410705,0.0042208591762074,0.1929057681365237,-0.1623456583540797,0.4181048939854908,0.4012433386029558,41,41,41
CFLX,0.0755776893710181,0.9066879650809596,1.295715416907688,-0.385439603363842,0.4759561583614149,1.083153756752035,0.6472489936661676,0.4074754971490089,1.56340983261392,41,41,41
VMPI,0.3386962392280506,0.005418526330400707,0.23260928171673168,0.16803357006691974,0.041120272059178724,0.16090816202016697,0.3378197426753668,0.04557649143621794,0.33083452392469787,41,41,41
