Target,slope_all,p_value_all,ci_width_all,slope_before,p_value_before,ci_width_before,slope_after,p_value_after,ci_width_after,num_years_all,num_years_before,num_years_after
SHRD,-0.0926276131855212,0.0016005474922636,0.0547134507217801,-0.0709432019757383,0.0676361354171939,0.0763972022213546,-0.1260389844690845,0.0052020574471222,0.0855934791149655,34,34,34
D200,-8.856167763583356e-09,0.6512804359868186,3.953707655038568e-08,-2.3877782992120123e-08,0.4831730680108184,6.855501012138586e-08,-1.3264695361897102e-08,0.5471577956617268,4.440384455957756e-08,34,34,34
TPW,-0.2978466966188459,0.0077278508091271,0.2134254131352796,-0.0200190522820993,0.6664883106753965,0.0937431598555361,-0.4037808479966144,0.0144437999438002,0.3179667814698975,34,34,34
PC2,-0.2352925193883312,0.6801503102067514,1.1569358189268708,1.087686659574259,0.0258170440204232,0.946455323669598,-0.8238688718609586,0.2351502945785208,1.3909288936275606,30,30,30
SDBT,0.0550307667822935,0.1028661160819694,0.0667781453315064,0.0416222094702024,0.2205872079177136,0.0679011701029531,0.054109413916319,0.1231329911125422,0.069629077268593,33,33,33
POT,-0.0865830191299809,0.7244826672197844,0.4959782897581012,-0.2021350112339084,0.3124080274321036,0.4011523700204026,0.1664309231469634,0.6321972185815461,0.7014951899215849,34,34,34
CFLX,1.6034325453153924,0.2102208371069214,2.554348991421864,0.3015612481296746,0.8046658645284771,2.463215776283,2.918745472045103,0.0694521290736363,3.1649433709295565,34,34,34
VMPI,0.1811831853184307,0.3262281066694434,0.3701560045472657,0.0811903666360826,0.5880252781202226,0.3022183446538845,0.0801844155566533,0.7728604185205326,0.5610976224241842,34,34,34
SHRD,-0.0926276131855212,0.0016005474922636,0.0547134507217801,-0.0709432019757383,0.0676361354171939,0.0763972022213546,-0.1260389844690845,0.0052020574471222,0.0855934791149655,34,34,34
D200,-8.856167763583356e-09,0.6512804359868186,3.953707655038568e-08,-2.3877782992120123e-08,0.4831730680108184,6.855501012138586e-08,-1.3264695361897102e-08,0.5471577956617268,4.440384455957756e-08,34,34,34
TPW,-0.2978466966188459,0.0077278508091271,0.2134254131352796,-0.0200190522820993,0.6664883106753965,0.0937431598555361,-0.4037808479966144,0.0144437999438002,0.3179667814698975,34,34,34
PC2,-0.2352925193883312,0.6801503102067514,1.1569358189268708,1.087686659574259,0.0258170440204232,0.946455323669598,-0.8238688718609586,0.2351502945785208,1.3909288936275606,30,30,30
SDBT,0.0550307667822935,0.1028661160819694,0.0667781453315064,0.0416222094702024,0.2205872079177136,0.0679011701029531,0.054109413916319,0.1231329911125422,0.069629077268593,33,33,33
POT,-0.0865830191299809,0.7244826672197844,0.4959782897581012,-0.2021350112339084,0.3124080274321036,0.4011523700204026,0.1664309231469634,0.6321972185815461,0.7014951899215849,34,34,34
CFLX,1.6034325453153924,0.2102208371069214,2.554348991421864,0.3015612481296746,0.8046658645284771,2.463215776283,2.918745472045103,0.0694521290736363,3.1649433709295565,34,34,34
VMPI,0.1811831853184307,0.3262281066694434,0.3701560045472657,0.0811903666360826,0.5880252781202226,0.3022183446538845,0.0801844155566533,0.7728604185205326,0.5610976224241842,34,34,34
SHRD,-0.0926276131855212,0.0016005474922636,0.0547134507217801,-0.0709432019757383,0.0676361354171939,0.0763972022213546,-0.1260389844690845,0.0052020574471222,0.0855934791149655,34,34,34
D200,-8.856167763583356e-09,0.6512804359868186,3.953707655038568e-08,-2.3877782992120123e-08,0.4831730680108184,6.855501012138586e-08,-1.3264695361897102e-08,0.5471577956617268,4.440384455957756e-08,34,34,34
TPW,-0.2978466966188459,0.0077278508091271,0.2134254131352796,-0.0200190522820993,0.6664883106753965,0.0937431598555361,-0.4037808479966144,0.0144437999438002,0.3179667814698975,34,34,34
PC2,-0.2352925193883312,0.6801503102067514,1.1569358189268708,1.087686659574259,0.0258170440204232,0.946455323669598,-0.8238688718609586,0.2351502945785208,1.3909288936275606,30,30,30
SDBT,0.0550307667822935,0.1028661160819694,0.0667781453315064,0.0416222094702024,0.2205872079177136,0.0679011701029531,0.054109413916319,0.1231329911125422,0.069629077268593,33,33,33
POT,-0.0865830191299809,0.7244826672197844,0.4959782897581012,-0.2021350112339084,0.3124080274321036,0.4011523700204026,0.1664309231469634,0.6321972185815461,0.7014951899215849,34,34,34
CFLX,1.6034325453153924,0.2102208371069214,2.554348991421864,0.3015612481296746,0.8046658645284771,2.463215776283,2.918745472045103,0.0694521290736363,3.1649433709295565,34,34,34
VMPI,0.18118318531843078,0.32622810666944346,0.37015600454726577,0.08119036663608264,0.5880252781202226,0.3022183446538845,0.08018441555665334,0.7728604185205326,0.5610976224241842,34,34,34
