Target,slope_all,p_value_all,ci_width_all,slope_before,p_value_before,ci_width_before,slope_after,p_value_after,ci_width_after,num_years_all,num_years_before,num_years_after
SHRD,-0.1060973525815017,0.0003204528536369,0.0543663350312175,-0.0942769548316551,0.0038565374672495,0.0620567570513046,-0.0973142813466522,0.0215196105288441,0.0821855878536701,41,41,41
D200,1.0855183920231658e-08,0.4775256392621481,3.061452884759829e-08,-7.612272856443165e-09,0.6718181076431895,3.606979116993222e-08,9.681638167014308e-09,0.5606155461506173,3.336355737623718e-08,41,41,41
TPW,-0.3127884661841106,1.895335918665221e-05,0.1299545633461603,-0.0613696229337139,0.0473134744477281,0.0606048938760924,-0.4245180336625419,6.910153291213518e-05,0.1928257491080751,41,41,41
PC2,-1.7412034911029757,0.000220999660671,0.8581892144536658,-0.0090496983773798,0.9811583603954576,0.7723796067813468,-2.183063602161702,7.987835650154486e-06,0.8473237396737039,37,37,37
SDBT,0.0669232302527938,0.0002655885154962,0.0336957305043291,0.0484974020830791,0.0126489369139314,0.0375095080083642,0.0828795014915679,0.0015557443612153,0.0492134120141708,40,40,40
POT,-0.1432283780349782,0.4021746841332899,0.3420472562421785,-0.1462140555752749,0.1324372165079106,0.1924531896780628,0.0529904624443873,0.8417557204316478,0.5332931617118111,41,41,41
CFLX,0.5702923962174883,0.393275171419809,1.3362507559137735,-0.2197336758048571,0.6852898037765867,1.0885577031805889,1.5518679553933348,0.084350331159981,1.7722633694691825,41,41,41
VMPI,0.4190103758238194,0.0182606367119581,0.3439877733838288,0.195371561970743,0.0591584700131029,0.2032995977941066,0.3682630143606295,0.1349928361313084,0.4880155934904076,41,41,41
SHRD,-0.1060973525815017,0.0003204528536369,0.0543663350312175,-0.0942769548316551,0.0038565374672495,0.0620567570513046,-0.0973142813466522,0.0215196105288441,0.0821855878536701,41,41,41
D200,1.0855183920231658e-08,0.4775256392621481,3.061452884759829e-08,-7.612272856443165e-09,0.6718181076431895,3.606979116993222e-08,9.681638167014308e-09,0.5606155461506173,3.336355737623718e-08,41,41,41
TPW,-0.3127884661841106,1.895335918665221e-05,0.1299545633461603,-0.0613696229337139,0.0473134744477281,0.0606048938760924,-0.4245180336625419,6.910153291213518e-05,0.1928257491080751,41,41,41
PC2,-1.7412034911029757,0.000220999660671,0.8581892144536658,-0.0090496983773798,0.9811583603954576,0.7723796067813468,-2.183063602161702,7.987835650154486e-06,0.8473237396737039,37,37,37
SDBT,0.0669232302527938,0.0002655885154962,0.0336957305043291,0.0484974020830791,0.0126489369139314,0.0375095080083642,0.0828795014915679,0.0015557443612153,0.0492134120141708,40,40,40
POT,-0.1432283780349782,0.4021746841332899,0.3420472562421785,-0.1462140555752749,0.1324372165079106,0.1924531896780628,0.0529904624443873,0.8417557204316478,0.5332931617118111,41,41,41
CFLX,0.5702923962174883,0.393275171419809,1.3362507559137735,-0.2197336758048571,0.6852898037765867,1.0885577031805889,1.5518679553933348,0.084350331159981,1.7722633694691825,41,41,41
VMPI,0.4190103758238194,0.0182606367119581,0.3439877733838288,0.195371561970743,0.0591584700131029,0.2032995977941066,0.3682630143606295,0.1349928361313084,0.4880155934904076,41,41,41
SHRD,-0.1060973525815017,0.0003204528536369,0.0543663350312175,-0.0942769548316551,0.0038565374672495,0.0620567570513046,-0.0973142813466522,0.0215196105288441,0.0821855878536701,41,41,41
D200,1.0855183920231658e-08,0.4775256392621481,3.061452884759829e-08,-7.612272856443165e-09,0.6718181076431895,3.606979116993222e-08,9.681638167014308e-09,0.5606155461506173,3.336355737623718e-08,41,41,41
TPW,-0.3127884661841106,1.895335918665221e-05,0.1299545633461603,-0.0613696229337139,0.0473134744477281,0.0606048938760924,-0.4245180336625419,6.910153291213518e-05,0.1928257491080751,41,41,41
PC2,-1.7412034911029757,0.000220999660671,0.8581892144536658,-0.0090496983773798,0.9811583603954576,0.7723796067813468,-2.183063602161702,7.987835650154486e-06,0.8473237396737039,37,37,37
SDBT,0.0669232302527938,0.0002655885154962,0.0336957305043291,0.0484974020830791,0.0126489369139314,0.0375095080083642,0.0828795014915679,0.0015557443612153,0.0492134120141708,40,40,40
POT,-0.1432283780349782,0.4021746841332899,0.3420472562421785,-0.1462140555752749,0.1324372165079106,0.1924531896780628,0.0529904624443873,0.8417557204316478,0.5332931617118111,41,41,41
CFLX,0.5702923962174883,0.393275171419809,1.3362507559137735,-0.2197336758048571,0.6852898037765867,1.0885577031805889,1.5518679553933348,0.084350331159981,1.7722633694691825,41,41,41
VMPI,0.41901037582381945,0.018260636711958125,0.34398777338382885,0.195371561970743,0.05915847001310297,0.20329959779410667,0.3682630143606295,0.13499283613130844,0.48801559349040763,41,41,41
