Target,slope_all,p_value_all,ci_width_all,slope_before,p_value_before,ci_width_before,slope_after,p_value_after,ci_width_after,num_years_all,num_years_before,num_years_after
SHRD,0.0113613860035447,0.6887246928758889,0.0569415620084067,-0.0404047310662562,0.2498701155694588,0.0699669889363188,0.0360472908621145,0.2879374209915266,0.0676768646650925,41,41,41
D200,-1.8427981117399923e-08,0.3412905297440959,3.869080713642675e-08,-4.9156212798621734e-08,0.0571818128074727,5.073123346307275e-08,-1.9440019538306223e-08,0.3169989303256628,3.879176627972599e-08,41,41,41
TPW,-0.1073737314257322,0.1701865575505343,0.155417588301747,-0.0002613081403566,0.9946681151661478,0.078587735199672,-0.1243622603578022,0.2261953686673657,0.2045676587726113,41,41,41
PC2,-0.5587557819691763,0.2146114800616661,0.8974721072157329,0.8236095444242068,0.1048764124826774,1.004320439348308,-1.0516544436689228,0.0359447676692527,0.9786368743349664,37,37,37
SDBT,0.1160466541502477,3.3331343323590575e-05,0.0499425869059754,0.1042393546149012,0.0048024313601232,0.0704448237761541,0.1265255978653737,3.780107486978865e-05,0.0549280356630917,40,40,40
POT,-0.1789653177777621,0.4285094003695484,0.4524423615567033,-0.1789810265122601,0.2088416762171467,0.2832972948511159,-0.0663111234888785,0.8238131498051493,0.5983884388305034,41,41,41
CFLX,0.2326510726045793,0.7087258541173447,1.2505143146897426,0.0196571902665307,0.9736369977645126,1.1954472300908676,0.6168990016046403,0.3864922024180344,1.4247227847405792,41,41,41
VMPI,0.3048810155640324,0.1959260094160744,0.468675589816362,0.2103645054774557,0.1087906114453877,0.2592579237451368,0.2328018610859618,0.4422546394871631,0.6065776219462976,41,41,41
SHRD,0.0113613860035447,0.6887246928758889,0.0569415620084067,-0.0404047310662562,0.2498701155694588,0.0699669889363188,0.0360472908621145,0.2879374209915266,0.0676768646650925,41,41,41
D200,-1.8427981117399923e-08,0.3412905297440959,3.869080713642675e-08,-4.9156212798621734e-08,0.0571818128074727,5.073123346307275e-08,-1.9440019538306223e-08,0.3169989303256628,3.879176627972599e-08,41,41,41
TPW,-0.1073737314257322,0.1701865575505343,0.155417588301747,-0.0002613081403566,0.9946681151661478,0.078587735199672,-0.1243622603578022,0.2261953686673657,0.2045676587726113,41,41,41
PC2,-0.5587557819691763,0.2146114800616661,0.8974721072157329,0.8236095444242068,0.1048764124826774,1.004320439348308,-1.0516544436689228,0.0359447676692527,0.9786368743349664,37,37,37
SDBT,0.1160466541502477,3.3331343323590575e-05,0.0499425869059754,0.1042393546149012,0.0048024313601232,0.0704448237761541,0.1265255978653737,3.780107486978865e-05,0.0549280356630917,40,40,40
POT,-0.1789653177777621,0.4285094003695484,0.4524423615567033,-0.1789810265122601,0.2088416762171467,0.2832972948511159,-0.0663111234888785,0.8238131498051493,0.5983884388305034,41,41,41
CFLX,0.2326510726045793,0.7087258541173447,1.2505143146897426,0.0196571902665307,0.9736369977645126,1.1954472300908676,0.6168990016046403,0.3864922024180344,1.4247227847405792,41,41,41
VMPI,0.3048810155640324,0.1959260094160744,0.468675589816362,0.2103645054774557,0.1087906114453877,0.2592579237451368,0.2328018610859618,0.4422546394871631,0.6065776219462976,41,41,41
SHRD,0.0113613860035447,0.6887246928758889,0.0569415620084067,-0.0404047310662562,0.2498701155694588,0.0699669889363188,0.0360472908621145,0.2879374209915266,0.0676768646650925,41,41,41
D200,-1.8427981117399923e-08,0.3412905297440959,3.869080713642675e-08,-4.9156212798621734e-08,0.0571818128074727,5.073123346307275e-08,-1.9440019538306223e-08,0.3169989303256628,3.879176627972599e-08,41,41,41
TPW,-0.1073737314257322,0.1701865575505343,0.155417588301747,-0.0002613081403566,0.9946681151661478,0.078587735199672,-0.1243622603578022,0.2261953686673657,0.2045676587726113,41,41,41
PC2,-0.5587557819691763,0.2146114800616661,0.8974721072157329,0.8236095444242068,0.1048764124826774,1.004320439348308,-1.0516544436689228,0.0359447676692527,0.9786368743349664,37,37,37
SDBT,0.1160466541502477,3.3331343323590575e-05,0.0499425869059754,0.1042393546149012,0.0048024313601232,0.0704448237761541,0.1265255978653737,3.780107486978865e-05,0.0549280356630917,40,40,40
POT,-0.1789653177777621,0.4285094003695484,0.4524423615567033,-0.1789810265122601,0.2088416762171467,0.2832972948511159,-0.0663111234888785,0.8238131498051493,0.5983884388305034,41,41,41
CFLX,0.2326510726045793,0.7087258541173447,1.2505143146897426,0.0196571902665307,0.9736369977645126,1.1954472300908676,0.6168990016046403,0.3864922024180344,1.4247227847405792,41,41,41
VMPI,0.30488101556403246,0.19592600941607444,0.46867558981636204,0.21036450547745578,0.10879061144538771,0.2592579237451368,0.23280186108596182,0.44225463948716315,0.6065776219462976,41,41,41
