Target,slope_all,p_value_all,ci_width_all,slope_before,p_value_before,ci_width_before,slope_after,p_value_after,ci_width_after,num_years_all,num_years_before,num_years_after
SHRD,-0.1634429584559001,0.0027359532795968,0.1020616247569667,-0.1189989751160663,0.0228400900130075,0.1012469874299487,-0.2228306978460457,0.0065965612993941,0.155716074080303,31,31,31
D200,-3.606730640644967e-08,0.1433742246720368,4.904383116442499e-08,-1.7802931002523766e-08,0.6797768774496278,8.73247596773266e-08,-2.935887744971975e-08,0.2374530512437863,4.9776924324844704e-08,31,31,31
TPW,-0.2848928769969758,0.0027111616751064,0.1777089847571685,0.0055073143786882,0.930499727316664,0.1280304064685786,-0.4996920305385105,0.0007972431687088,0.2729432029430986,31,31,31
PC2,1.5205969041823777,0.2037517308179072,2.414116337197763,0.8051655526144046,0.581837069773061,3.000300770468685,1.6519185555761329,0.1820801850720866,2.492575593568625,22,22,22
SDBT,0.1046803865113993,0.1192470398326478,0.1341546449828751,0.0113879975496758,0.8865374729888018,0.1643730902982569,0.159102354517463,0.0536441794135474,0.1618483384860885,22,22,22
POT,-0.5092613843191635,0.0547293908726269,0.5202879941439201,0.274402244171556,0.1785712523511402,0.4071011231776894,-1.056751697565501,0.0143266780663968,0.8295034862726836,31,31,31
CFLX,2.2051209171355723,0.0926397323092064,2.5934160974060143,4.551786346480755,0.0250933269567009,3.941023491667404,0.3949980511909408,0.8105910764761163,3.340209010073394,31,31,31
VMPI,0.5784794907188617,0.0080638939433649,0.4158583533262949,0.2375771972985412,0.0965242604457271,0.2828877836201595,0.8983323076790103,0.0031982220550805,0.5715767256393335,31,31,31
SHRD,-0.1634429584559001,0.0027359532795968,0.1020616247569667,-0.1189989751160663,0.0228400900130075,0.1012469874299487,-0.2228306978460457,0.0065965612993941,0.155716074080303,31,31,31
D200,-3.606730640644967e-08,0.1433742246720368,4.904383116442499e-08,-1.7802931002523766e-08,0.6797768774496278,8.73247596773266e-08,-2.935887744971975e-08,0.2374530512437863,4.9776924324844704e-08,31,31,31
TPW,-0.2848928769969758,0.0027111616751064,0.1777089847571685,0.0055073143786882,0.930499727316664,0.1280304064685786,-0.4996920305385105,0.0007972431687088,0.2729432029430986,31,31,31
SHRD,-0.1634429584559001,0.0027359532795968,0.1020616247569667,-0.1189989751160663,0.0228400900130075,0.1012469874299487,-0.2228306978460457,0.0065965612993941,0.155716074080303,31,31,31
D200,-3.606730640644967e-08,0.1433742246720368,4.904383116442499e-08,-1.7802931002523766e-08,0.6797768774496278,8.73247596773266e-08,-2.935887744971975e-08,0.2374530512437863,4.9776924324844704e-08,31,31,31
TPW,-0.2848928769969758,0.0027111616751064,0.1777089847571685,0.0055073143786882,0.930499727316664,0.1280304064685786,-0.4996920305385105,0.0007972431687088,0.2729432029430986,31,31,31
PC2,1.5205969041823777,0.2037517308179072,2.414116337197763,0.8051655526144046,0.581837069773061,3.000300770468685,1.6519185555761329,0.1820801850720866,2.492575593568625,22,22,22
SDBT,0.1046803865113993,0.1192470398326478,0.1341546449828751,0.0113879975496758,0.8865374729888018,0.1643730902982569,0.159102354517463,0.0536441794135474,0.1618483384860885,22,22,22
POT,-0.5092613843191635,0.0547293908726269,0.5202879941439201,0.274402244171556,0.1785712523511402,0.4071011231776894,-1.056751697565501,0.0143266780663968,0.8295034862726836,31,31,31
CFLX,2.2051209171355723,0.0926397323092064,2.5934160974060143,4.551786346480755,0.0250933269567009,3.941023491667404,0.3949980511909408,0.8105910764761163,3.340209010073394,31,31,31
VMPI,0.5784794907188617,0.008063893943364937,0.41585835332629495,0.2375771972985412,0.09652426044572718,0.28288778362015954,0.8983323076790103,0.003198222055080573,0.5715767256393335,31,31,31
