Target,slope_all,p_value_all,ci_width_all,slope_before,p_value_before,ci_width_before,slope_after,p_value_after,ci_width_after,num_years_all,num_years_before,num_years_after
SHRD,-0.0603555362672084,0.0718726834403991,0.0660636713205808,-0.0042949534567488,0.9014850741423776,0.0702631334497458,-0.0655425986855303,0.1686165916540043,0.0948855670448468,32,32,32
D200,3.891166786430206e-09,0.809467615416658,3.2669407984196725e-08,2.1091784407487168e-09,0.923521955609115,4.4495017204737423e-08,-6.619468938354307e-09,0.7145731892262004,3.661654400732648e-08,32,32,32
TPW,-0.205317653705733,0.0116509726648295,0.1560699980238253,-0.0029018830224422,0.925981672894673,0.0632586474436754,-0.2840387172430694,0.0196003851020491,0.2352323093784205,32,32,32
PC2,3.6993197828431392,9.602072315270366e-07,1.1108505213641195,3.4263698379663823,6.826105791041683e-05,1.428604843165793,4.173308400241178,7.707812677571848e-06,1.4577640867756516,22,22,22
SDBT,0.1896879203087064,4.369619487020081e-05,0.0761254073940149,0.2651744539570803,7.18728943311971e-06,0.0921359985253369,0.1156397141171964,0.0218869400176665,0.0970395730104664,22,22,22
POT,-0.1328504374128398,0.4512748494297248,0.3554754930186433,0.0092159746514076,0.952319533414035,0.3121506290894639,0.0603569382377534,0.8017428669165638,0.4865840886941662,32,32,32
CFLX,0.8038256187828267,0.2793005749412419,1.4899237654213733,0.3004839171965049,0.6413924466180623,1.30426090838268,1.99203178375561,0.0463257428724255,1.9574203342860683,32,32,32
VMPI,0.4034856044997741,0.0055271885909792,0.2755945919825316,0.1551774117737245,0.1796780903820157,0.230682053179139,0.335781592277279,0.0665655238310335,0.3602011764336225,32,32,32
SHRD,-0.0603555362672084,0.0718726834403991,0.0660636713205808,-0.0042949534567488,0.9014850741423776,0.0702631334497458,-0.0655425986855303,0.1686165916540043,0.0948855670448468,32,32,32
D200,3.891166786430206e-09,0.809467615416658,3.2669407984196725e-08,2.1091784407487168e-09,0.923521955609115,4.4495017204737423e-08,-6.619468938354307e-09,0.7145731892262004,3.661654400732648e-08,32,32,32
TPW,-0.205317653705733,0.0116509726648295,0.1560699980238253,-0.0029018830224422,0.925981672894673,0.0632586474436754,-0.2840387172430694,0.0196003851020491,0.2352323093784205,32,32,32
SHRD,-0.0603555362672084,0.0718726834403991,0.0660636713205808,-0.0042949534567488,0.9014850741423776,0.0702631334497458,-0.0655425986855303,0.1686165916540043,0.0948855670448468,32,32,32
D200,3.891166786430206e-09,0.809467615416658,3.2669407984196725e-08,2.1091784407487168e-09,0.923521955609115,4.4495017204737423e-08,-6.619468938354307e-09,0.7145731892262004,3.661654400732648e-08,32,32,32
TPW,-0.205317653705733,0.0116509726648295,0.1560699980238253,-0.0029018830224422,0.925981672894673,0.0632586474436754,-0.2840387172430694,0.0196003851020491,0.2352323093784205,32,32,32
PC2,3.6993197828431392,9.602072315270366e-07,1.1108505213641195,3.4263698379663823,6.826105791041683e-05,1.428604843165793,4.173308400241178,7.707812677571848e-06,1.4577640867756516,22,22,22
SDBT,0.1896879203087064,4.369619487020081e-05,0.0761254073940149,0.2651744539570803,7.18728943311971e-06,0.0921359985253369,0.1156397141171964,0.0218869400176665,0.0970395730104664,22,22,22
POT,-0.1328504374128398,0.4512748494297248,0.3554754930186433,0.0092159746514076,0.952319533414035,0.3121506290894639,0.0603569382377534,0.8017428669165638,0.4865840886941662,32,32,32
CFLX,0.8038256187828267,0.2793005749412419,1.4899237654213733,0.3004839171965049,0.6413924466180623,1.30426090838268,1.99203178375561,0.0463257428724255,1.9574203342860683,32,32,32
VMPI,0.4034856044997741,0.0055271885909792375,0.27559459198253167,0.15517741177372457,0.17967809038201576,0.23068205317913903,0.335781592277279,0.06656552383103354,0.3602011764336225,32,32,32
