Target,slope_all,p_value_all,ci_width_all,slope_before,p_value_before,ci_width_before,slope_after,p_value_after,ci_width_after,num_years_all,num_years_before,num_years_after
SHRD,-0.0508488432128082,0.1899717218182021,0.0774375335337442,-0.084480329797477,0.0197123101038546,0.0700340903493199,-0.0110313427166774,0.8332580073923822,0.1060858466450602,32,32,32
D200,5.853078564124521e-09,0.7541762812061582,3.782550504091404e-08,1.840779970007736e-08,0.5067600078117984,5.594752960549807e-08,-5.937685295537963e-09,0.7749276548760062,4.20285590809867e-08,32,32,32
TPW,-0.1561749156460029,0.0295631157376481,0.1395937981823961,-0.0105126227949861,0.8278106977770419,0.0978482121205205,-0.2369852877552319,0.0345547411631696,0.2185801522451323,32,32,32
PC2,2.2966161571298724,0.0635637340683414,2.440557184199788,1.989021539528464,0.1147359566466668,2.521072640625824,2.233626542265576,0.0663620975849377,2.4010177086415445,20,20,20
SDBT,0.1248131089018759,0.1338240800513543,0.167019460032896,0.0927451126461215,0.4127272288536341,0.2323695686058384,0.1523357342287944,0.0769416681012429,0.1705831504507677,20,20,20
POT,-0.2690258144937356,0.1013645768666097,0.3250725102632463,-0.0325965825235632,0.8129267313002948,0.2788376880173204,-0.3125255295796156,0.1961781308017521,0.4828203589122006,32,32,32
CFLX,0.169854738340736,0.8136530002936353,1.4587463667910885,0.3454585197966737,0.7009040857246784,1.819302234425641,0.0500593023182334,0.9484114736321954,1.5669266508629558,32,32,32
VMPI,0.3451753931738794,0.0271868138567606,0.3035479278557346,0.0826386475870384,0.4363309383247281,0.2139174680911248,0.3940200736267587,0.0784100447051697,0.4416106491565813,32,32,32
SHRD,-0.0508488432128082,0.1899717218182021,0.0774375335337442,-0.084480329797477,0.0197123101038546,0.0700340903493199,-0.0110313427166774,0.8332580073923822,0.1060858466450602,32,32,32
D200,5.853078564124521e-09,0.7541762812061582,3.782550504091404e-08,1.840779970007736e-08,0.5067600078117984,5.594752960549807e-08,-5.937685295537963e-09,0.7749276548760062,4.20285590809867e-08,32,32,32
TPW,-0.1561749156460029,0.0295631157376481,0.1395937981823961,-0.0105126227949861,0.8278106977770419,0.0978482121205205,-0.2369852877552319,0.0345547411631696,0.2185801522451323,32,32,32
SHRD,-0.0508488432128082,0.1899717218182021,0.0774375335337442,-0.084480329797477,0.0197123101038546,0.0700340903493199,-0.0110313427166774,0.8332580073923822,0.1060858466450602,32,32,32
D200,5.8530785641245215e-09,0.7541762812061582,3.782550504091404e-08,1.840779970007736e-08,0.5067600078117984,5.594752960549807e-08,-5.937685295537963e-09,0.7749276548760062,4.20285590809867e-08,32,32,32
TPW,-0.1561749156460029,0.0295631157376481,0.1395937981823961,-0.0105126227949861,0.8278106977770419,0.0978482121205205,-0.2369852877552319,0.0345547411631696,0.2185801522451323,32,32,32
PC2,2.2966161571298724,0.0635637340683414,2.440557184199788,1.989021539528464,0.1147359566466668,2.521072640625824,2.233626542265576,0.0663620975849377,2.4010177086415445,20,20,20
SDBT,0.1248131089018759,0.1338240800513543,0.167019460032896,0.0927451126461215,0.4127272288536341,0.2323695686058384,0.1523357342287944,0.0769416681012429,0.1705831504507677,20,20,20
POT,-0.2690258144937356,0.1013645768666097,0.3250725102632463,-0.0325965825235632,0.8129267313002948,0.2788376880173204,-0.3125255295796156,0.1961781308017521,0.4828203589122006,32,32,32
CFLX,0.169854738340736,0.8136530002936353,1.4587463667910885,0.3454585197966737,0.7009040857246784,1.819302234425641,0.0500593023182334,0.9484114736321954,1.5669266508629558,32,32,32
VMPI,0.34517539317387946,0.027186813856760625,0.3035479278557346,0.08263864758703843,0.43633093832472813,0.21391746809112488,0.3940200736267587,0.07841004470516971,0.4416106491565813,32,32,32
