YEAR,USA_ATCF_ID,DELV
1982,WP011982,0.0
1982,WP011982,-2.0
1982,WP011982,-5.0
1982,WP011982,-8.0
1982,WP011982,-10.0
1982,WP011982,-7.0
1982,WP011982,-5.0
1982,WP011982,-3.0
1982,WP011982,0.0
1982,WP011982,-2.0
1982,WP011982,-5.0
1982,WP011982,-3.0
1982,WP011982,0.0
1982,WP011982,3.0
1982,WP011982,5.0
1982,WP011982,0.0
1982,WP011982,-5.0
1982,WP011982,-3.0
1982,WP011982,0.0
1982,WP011982,0.0
1982,WP011982,0.0
1982,WP011982,0.0
1982,WP011982,0.0
1982,WP011982,0.0
1982,WP011982,0.0
1982,WP011982,-2.0
1982,WP011982,-5.0
1982,WP011982,-3.0
1982,WP011982,0.0
1982,WP011982,0.0
1982,WP011982,0.0
1982,WP011982,0.0
1982,WP011982,0.0
1982,WP011982,0.0
1982,WP011982,0.0
1982,WP011982,0.0
1982,WP011982,0.0
1982,WP011982,-2.0
1982,WP011982,-5.0
1982,WP011982,-3.0
1982,WP011982,0.0
1982,WP011982,0.0
1982,WP011982,0.0
1982,WP011982,-2.0
1982,WP011982,-5.0
1982,WP011982,-8.0
1983,WP011983,0.0
1983,WP011983,-2.0
1983,WP011983,-5.0
1983,WP011983,-5.0
1983,WP011983,-5.0
1983,WP011983,-8.0
1983,WP011983,-10.0
1984,WP011984,0.0
1984,WP011984,-2.0
1984,WP011984,-5.0
1984,WP011984,-3.0
1984,WP011984,0.0
1984,WP011984,-2.0
1984,WP011984,-5.0
1984,WP011984,-3.0
1984,WP011984,0.0
1984,WP011984,-2.0
1984,WP011984,-5.0
1984,WP011984,0.0
1984,WP011984,0.0
1985,WP011985,-5.0
1985,WP011985,-5.0
1985,WP011985,-5.0
1985,WP011985,-5.0
1985,WP011985,-5.0
1985,WP011985,-3.0
1985,WP011985,0.0
1985,WP011985,-2.0
1985,WP011985,-5.0
1985,WP011985,-3.0
1985,WP011985,0.0
1985,WP011985,10.0
1985,WP011985,10.0
1985,WP011985,0.0
1985,WP011985,0.0
1985,WP011985,0.0
1985,WP011985,0.0
1985,WP011985,0.0
1985,WP011985,0.0
1985,WP011985,0.0
1985,WP011985,0.0
1985,WP011985,0.0
1985,WP011985,0.0
1985,WP011985,0.0
1985,WP011985,0.0
1985,WP011985,-2.0
1985,WP011985,-5.0
1985,WP011985,-3.0
1985,WP011985,0.0
1986,WP011986,-25.0
1986,WP011986,-20.0
1986,WP011986,-15.0
1986,WP011986,-13.0
1986,WP011986,-10.0
1986,WP011986,-7.0
1986,WP011986,-5.0
1987,WP011987,-5.0
1987,WP011987,-8.0
1987,WP011987,-10.0
1987,WP011987,-10.0
1987,WP011987,-10.0
1987,WP011987,-10.0
1987,WP011987,-10.0
1987,WP011987,-5.0
1987,WP011987,0.0
1987,WP011987,3.0
1987,WP011987,5.0
1987,WP011987,0.0
1987,WP011987,-5.0
1987,WP011987,-8.0
1987,WP011987,-10.0
1987,WP011987,-7.0
1987,WP011987,-5.0
1987,WP011987,-5.0
1987,WP011987,-5.0
1987,WP011987,-5.0
1987,WP011987,-5.0
1987,WP011987,-5.0
1987,WP011987,-5.0
1988,WP011988,0.0
1988,WP011988,0.0
1988,WP011988,0.0
1988,WP011988,-2.0
1988,WP011988,-5.0
1988,WP011988,-3.0
1988,WP011988,0.0
1988,WP011988,-2.0
1988,WP011988,-5.0
1988,WP011988,0.0
1988,WP011988,5.0
1988,WP011988,2.0
1988,WP011988,0.0
1988,WP011988,0.0
1988,WP011988,0.0
1988,WP011988,0.0
1988,WP011988,0.0
1988,WP011988,-2.0
1988,WP011988,-5.0
1988,WP011988,-3.0
1988,WP011988,0.0
1988,WP011988,-2.0
1988,WP011988,-5.0
1988,WP011988,-5.0
1988,WP011988,-5.0
1988,WP011988,-5.0
1988,WP011988,-5.0
1988,WP011988,-5.0
1988,WP011988,-5.0
1988,WP011988,-3.0
1988,WP011988,0.0
1988,WP011988,3.0
1988,WP011988,5.0
1988,WP011988,2.0
1988,WP011988,0.0
1988,WP011988,0.0
1988,WP011988,0.0
1988,WP011988,0.0
1988,WP011988,0.0
1988,WP011988,-2.0
1988,WP011988,-5.0
1988,WP011988,-8.0
1988,WP011988,-10.0
1988,WP011988,-10.0
1988,WP011988,-10.0
1988,WP011988,-12.0
1988,WP011988,-15.0
1988,WP011988,-13.0
1988,WP011988,-10.0
1988,WP011988,-5.0
1988,WP011988,0.0
1988,WP011988,-2.0
1988,WP011988,-5.0
1988,WP011988,-5.0
1988,WP011988,-5.0
1988,WP011988,-5.0
1988,WP011988,-5.0
1988,WP011988,-3.0
1988,WP011988,0.0
1988,WP011988,9.0
1988,WP011988,4.0
1989,WP011989,0.0
1989,WP011989,0.0
1989,WP011989,0.0
1989,WP011989,-5.0
1989,WP011989,-10.0
1989,WP011989,-7.0
1989,WP011989,-5.0
1989,WP011989,-8.0
1989,WP011989,-10.0
1989,WP011989,-5.0
1989,WP011989,0.0
1989,WP011989,0.0
1989,WP011989,0.0
1989,WP011989,0.0
1989,WP011989,0.0
1989,WP011989,-2.0
1989,WP011989,-5.0
1989,WP011989,-3.0
1989,WP011989,0.0
1989,WP011989,-2.0
1989,WP011989,-5.0
1989,WP011989,-3.0
1989,WP011989,0.0
1990,WP011990,-5.0
1990,WP011990,-5.0
1990,WP011990,-5.0
1990,WP011990,-3.0
1990,WP011990,0.0
1990,WP011990,-2.0
1990,WP011990,-5.0
1990,WP011990,-5.0
1990,WP011990,-5.0
1990,WP011990,-8.0
1990,WP011990,-10.0
1990,WP011990,-7.0
1990,WP011990,-5.0
1990,WP011990,-3.0
1991,WP011991,0.0
1991,WP011991,-2.0
1991,WP011991,-5.0
1991,WP011991,-3.0
1991,WP011991,0.0
1991,WP011991,-2.0
1991,WP011991,-5.0
1991,WP011991,-5.0
1991,WP011991,-5.0
1991,WP011991,-5.0
1991,WP011991,-5.0
1991,WP011991,-3.0
1991,WP011991,0.0
1991,WP011991,0.0
1991,WP011991,0.0
1991,WP011991,-2.0
1991,WP011991,-5.0
1991,WP011991,-3.0
1991,WP011991,0.0
1991,WP011991,0.0
1991,WP011991,0.0
1991,WP011991,0.0
1991,WP011991,0.0
1991,WP011991,0.0
1991,WP011991,0.0
1991,WP011991,-2.0
1991,WP011991,-5.0
1991,WP011991,-3.0
1991,WP011991,0.0
1991,WP011991,-2.0
1991,WP011991,-5.0
1991,WP011991,-3.0
1991,WP011991,0.0
1991,WP011991,0.0
1991,WP011991,0.0
1991,WP011991,0.0
1991,WP011991,0.0
1991,WP011991,0.0
1991,WP011991,0.0
1991,WP011991,0.0
1991,WP011991,0.0
1991,WP011991,0.0
1991,WP011991,0.0
1991,WP011991,0.0
1991,WP011991,0.0
1991,WP011991,0.0
1991,WP011991,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,-2.0
1992,WP011992,-5.0
1992,WP011992,-3.0
1992,WP011992,0.0
1992,WP011992,-2.0
1992,WP011992,-5.0
1992,WP011992,-3.0
1992,WP011992,0.0
1992,WP011992,-2.0
1992,WP011992,-5.0
1992,WP011992,-5.0
1992,WP011992,-5.0
1992,WP011992,-5.0
1992,WP011992,-5.0
1992,WP011992,-3.0
1992,WP011992,0.0
1992,WP011992,-2.0
1992,WP011992,-5.0
1992,WP011992,-3.0
1992,WP011992,0.0
1992,WP011992,-2.0
1992,WP011992,-5.0
1992,WP011992,-3.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,-2.0
1992,WP011992,-5.0
1992,WP011992,-3.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,0.0
1992,WP011992,-2.0
1992,WP011992,-5.0
1997,WP011997,-5.0
1997,WP011997,-3.0
1997,WP011997,0.0
1997,WP011997,0.0
1997,WP011997,0.0
1997,WP011997,0.0
1997,WP011997,0.0
1997,WP011997,0.0
1997,WP011997,0.0
1997,WP011997,0.0
1997,WP011997,0.0
1997,WP011997,0.0
1997,WP011997,0.0
1997,WP011997,-2.0
1997,WP011997,-5.0
1997,WP011997,-5.0
1997,WP011997,-5.0
1997,WP011997,-5.0
1997,WP011997,-5.0
1999,WP011999,0.0
1999,WP011999,-2.0
1999,WP011999,-5.0
1999,WP011999,-3.0
1999,WP011999,0.0
2000,WP012000,-15.0
2000,WP012000,-25.0
2000,WP012000,-35.0
2000,WP012000,-25.0
2000,WP012000,-15.0
2000,WP012000,-20.0
2000,WP012000,-25.0
2000,WP012000,-18.0
2000,WP012000,-10.0
2000,WP012000,-10.0
2000,WP012000,-10.0
2000,WP012000,-7.0
2000,WP012000,-5.0
2000,WP012000,-5.0
2000,WP012000,-5.0
2000,WP012000,-5.0
2000,WP012000,-5.0
2000,WP012000,-5.0
2000,WP012000,-5.0
2000,WP012000,-3.0
2002,WP012002,-5.0
2002,WP012002,-3.0
2002,WP012002,0.0
2002,WP012002,-2.0
2002,WP012002,-5.0
2002,WP012002,-3.0
2002,WP012002,0.0
2002,WP012002,-5.0
2002,WP012002,-10.0
2002,WP012002,-10.0
2002,WP012002,-10.0
2003,WP012003,0.0
2003,WP012003,-2.0
2003,WP012003,-5.0
2003,WP012003,-5.0
2003,WP012003,-5.0
2003,WP012003,-3.0
2003,WP012003,0.0
2003,WP012003,0.0
2003,WP012003,0.0
2003,WP012003,-2.0
2003,WP012003,-5.0
2003,WP012003,-3.0
2003,WP012003,0.0
