YEAR,USA_ATCF_ID,DELV
1982,EP011982,5.0
1982,EP011982,5.0
1982,EP011982,5.0
1982,EP011982,5.0
1982,EP011982,5.0
1982,EP011982,2.0
1982,EP011982,0.0
1982,EP011982,3.0
1982,EP011982,5.0
1983,EP011983,8.0
1983,EP011983,5.0
1983,EP011983,2.0
1983,EP011983,0.0
1983,EP011983,0.0
1983,EP011983,0.0
1983,EP011983,3.0
1983,EP011983,5.0
1983,EP011983,5.0
1983,EP011983,5.0
1983,EP011983,2.0
1983,EP011983,0.0
1983,EP011983,0.0
1983,EP011983,0.0
1983,EP011983,5.0
1983,EP011983,10.0
1983,EP011983,13.0
1983,EP011983,15.0
1983,EP011983,15.0
1983,EP011983,15.0
1984,EP011984,8.0
1984,EP011984,5.0
1984,EP011984,2.0
1984,EP011984,0.0
1984,EP011984,3.0
1984,EP011984,5.0
1985,EP011985,5.0
1985,EP011985,2.0
1985,EP011985,0.0
1985,EP011985,0.0
1985,EP011985,0.0
1985,EP011985,5.0
1985,EP011985,10.0
1985,EP011985,5.0
1985,EP011985,0.0
1985,EP011985,3.0
1985,EP011985,5.0
1985,EP011985,5.0
1985,EP011985,5.0
1986,EP011986,0.0
1986,EP011986,3.0
1986,EP011986,5.0
1986,EP011986,5.0
1986,EP011986,5.0
1986,EP011986,2.0
1986,EP011986,0.0
1986,EP011986,0.0
1986,EP011986,0.0
1986,EP011986,3.0
1986,EP011986,5.0
1986,EP011986,10.0
1986,EP011986,15.0
1987,EP011987,5.0
1988,EP011988,15.0
1988,EP011988,7.0
1988,EP011988,0.0
1988,EP011988,3.0
1988,EP011988,5.0
1988,EP011988,5.0
1988,EP011988,5.0
1989,EP011989,10.0
1989,EP011989,8.0
1989,EP011989,5.0
1989,EP011989,5.0
1989,EP011989,5.0
1990,EP011990,0.0
1990,EP011990,0.0
1990,EP011990,0.0
1990,EP011990,5.0
1990,EP011990,10.0
1990,EP011990,10.0
1990,EP011990,10.0
1990,EP011990,8.0
1990,EP011990,5.0
1990,EP011990,5.0
1990,EP011990,5.0
1990,EP011990,2.0
1990,EP011990,0.0
1990,EP011990,3.0
1990,EP011990,5.0
1990,EP011990,5.0
1990,EP011990,5.0
1991,EP011991,5.0
1991,EP011991,10.0
1991,EP011991,15.0
1992,EP011992,10.0
1992,EP011992,8.0
1992,EP011992,5.0
1992,EP011992,7.0
1992,EP011992,10.0
1993,EP011993,0.0
1993,EP011993,3.0
1993,EP011993,5.0
1993,EP011993,2.0
1993,EP011993,0.0
1993,EP011993,3.0
1993,EP011993,5.0
1993,EP011993,2.0
1993,EP011993,0.0
1993,EP011993,0.0
1993,EP011993,0.0
1993,EP011993,0.0
1993,EP011993,0.0
1993,EP011993,0.0
1993,EP011993,0.0
1993,EP011993,0.0
1993,EP011993,0.0
1993,EP011993,0.0
1993,EP011993,0.0
1993,EP011993,3.0
1993,EP011993,5.0
1993,EP011993,5.0
1993,EP011993,5.0
1993,EP011993,7.0
1993,EP011993,10.0
1993,EP011993,8.0
1993,EP011993,5.0
1993,EP011993,5.0
1993,EP011993,5.0
1994,EP011994,0.0
1994,EP011994,3.0
1994,EP011994,5.0
1994,EP011994,5.0
1994,EP011994,5.0
1996,EP011996,8.0
1996,EP011996,5.0
1997,EP011997,0.0
1997,EP011997,0.0
1997,EP011997,0.0
1997,EP011997,0.0
1997,EP011997,0.0
1997,EP011997,0.0
1997,EP011997,0.0
1997,EP011997,3.0
1997,EP011997,5.0
1997,EP011997,5.0
1997,EP011997,5.0
1998,EP011998,8.0
1998,EP011998,5.0
1998,EP011998,5.0
1998,EP011998,5.0
1998,EP011998,5.0
1998,EP011998,5.0
1999,EP011999,5.0
1999,EP011999,7.0
1999,EP011999,10.0
1999,EP011999,8.0
1999,EP011999,5.0
1999,EP011999,5.0
1999,EP011999,5.0
1999,EP011999,5.0
1999,EP011999,5.0
1999,EP011999,5.0
1999,EP011999,5.0
1999,EP011999,5.0
1999,EP011999,5.0
1999,EP011999,7.0
1999,EP011999,10.0
2000,EP012000,5.0
2000,EP012000,5.0
2000,EP012000,5.0
2000,EP012000,5.0
2000,EP012000,5.0
2000,EP012000,7.0
2000,EP012000,10.0
2000,EP012000,10.0
2000,EP012000,10.0
2000,EP012000,15.0
2000,EP012000,20.0
2001,EP012001,5.0
2001,EP012001,7.0
2001,EP012001,10.0
2001,EP012001,10.0
2001,EP012001,10.0
2001,EP012001,13.0
2001,EP012001,15.0
2001,EP012001,17.0
2001,EP012001,20.0
2001,EP012001,15.0
2001,EP012001,10.0
2001,EP012001,8.0
2001,EP012001,5.0
2001,EP012001,5.0
2001,EP012001,5.0
2001,EP012001,7.0
2001,EP012001,10.0
2002,EP012002,0.0
2002,EP012002,0.0
2002,EP012002,0.0
2002,EP012002,0.0
2002,EP012002,0.0
2002,EP012002,3.0
2002,EP012002,5.0
2002,EP012002,5.0
2002,EP012002,5.0
2002,EP012002,5.0
2002,EP012002,5.0
2002,EP012002,5.0
2002,EP012002,5.0
2002,EP012002,5.0
2002,EP012002,5.0
2002,EP012002,5.0
2002,EP012002,5.0
2002,EP012002,5.0
2002,EP012002,5.0
2002,EP012002,5.0
2002,EP012002,5.0
2002,EP012002,5.0
2002,EP012002,5.0
2002,EP012002,5.0
2002,EP012002,5.0
2002,EP012002,5.0
2002,EP012002,5.0
2002,EP012002,7.0
2002,EP012002,10.0
2003,EP012003,8.0
2003,EP012003,5.0
2003,EP012003,5.0
2003,EP012003,5.0
2004,EP012004,10.0
2004,EP012004,8.0
2004,EP012004,5.0
2005,EP012005,5.0
2005,EP012005,5.0
2005,EP012005,5.0
2005,EP012005,5.0
2005,EP012005,5.0
2005,EP012005,2.0
2005,EP012005,0.0
2005,EP012005,0.0
2005,EP012005,0.0
2005,EP012005,5.0
2005,EP012005,10.0
2005,EP012005,11.0
2005,EP012005,10.0
2006,EP012006,0.0
2006,EP012006,3.0
2006,EP012006,5.0
2008,EP012008,10.0
2008,EP012008,10.0
2008,EP012008,10.0
2010,EP012010,0.0
2010,EP012010,3.0
2010,EP012010,5.0
2011,EP012011,10.0
2011,EP012011,10.0
2011,EP012011,10.0
2011,EP012011,8.0
2011,EP012011,5.0
2011,EP012011,7.0
2011,EP012011,10.0
2011,EP012011,8.0
2011,EP012011,5.0
2011,EP012011,10.0
2011,EP012011,15.0
2011,EP012011,15.0
2011,EP012011,15.0
2011,EP012011,15.0
2011,EP012011,15.0
2012,EP012012,0.0
2012,EP012012,3.0
2012,EP012012,5.0
2012,EP012012,5.0
2012,EP012012,5.0
2013,EP012013,5.0
2013,EP012013,7.0
2013,EP012013,10.0
2014,EP012014,10.0
2014,EP012014,10.0
2014,EP012014,10.0
2014,EP012014,10.0
2014,EP012014,10.0
2014,EP012014,10.0
2014,EP012014,10.0
2014,EP012014,13.0
2014,EP012014,15.0
2014,EP012014,22.0
2014,EP012014,30.0
2014,EP012014,23.0
2014,EP012014,15.0
2015,EP012015,10.0
2015,EP012015,10.0
2015,EP012015,10.0
2015,EP012015,10.0
2015,EP012015,5.0
2015,EP012015,0.0
2015,EP012015,0.0
2015,EP012015,0.0
2015,EP012015,3.0
2015,EP012015,5.0
2015,EP012015,7.0
2015,EP012015,10.0
2015,EP012015,8.0
2015,EP012015,5.0
2015,EP012015,5.0
2015,EP012015,5.0
2015,EP012015,7.0
2015,EP012015,10.0
2015,EP012015,8.0
2015,EP012015,5.0
2015,EP012015,2.0
2015,EP012015,0.0
2015,EP012015,0.0
2015,EP012015,0.0
2015,EP012015,5.0
2015,EP012015,10.0
2015,EP012015,10.0
2015,EP012015,10.0
2015,EP012015,8.0
2015,EP012015,5.0
2017,EP012017,5.0
2019,EP012019,5.0
2019,EP012019,5.0
2019,EP012019,5.0
2019,EP012019,5.0
2019,EP012019,5.0
2019,EP012019,2.0
2019,EP012019,0.0
2019,EP012019,3.0
2019,EP012019,5.0
2019,EP012019,7.0
2019,EP012019,10.0
2022,EP012022,5.0
2022,EP012022,7.0
2022,EP012022,10.0
2022,EP012022,8.0
2022,EP012022,5.0
2022,EP012022,7.0
2022,EP012022,10.0
2022,EP012022,10.0
2022,EP012022,10.0
2022,EP012022,15.0
2022,EP012022,20.0
2023,EP012023,10.0
2023,EP012023,10.0
2023,EP012023,8.0
2023,EP012023,5.0
2023,EP012023,7.0
2023,EP012023,10.0
2023,EP012023,8.0
2023,EP012023,5.0
2023,EP012023,2.0
2023,EP012023,0.0
2023,EP012023,3.0
2023,EP012023,5.0
2023,EP012023,2.0
2023,EP012023,0.0
2023,EP012023,0.0
2023,EP012023,0.0
2023,EP012023,3.0
2023,EP012023,5.0
2023,EP012023,5.0
2023,EP012023,5.0
2023,EP012023,5.0
2023,EP012023,5.0
1982,EP021982_2,8.0
1982,EP021982_2,5.0
1983,EP021983,5.0
1983,EP021983,5.0
1983,EP021983,5.0
1983,EP021983,2.0
1983,EP021983,0.0
1983,EP021983,0.0
1983,EP021983,0.0
1983,EP021983,0.0
1983,EP021983,0.0
1983,EP021983,3.0
1983,EP021983,5.0
1983,EP021983,5.0
1983,EP021983,5.0
1983,EP021983,2.0
1983,EP021983,0.0
1983,EP021983,0.0
1983,EP021983,0.0
1983,EP021983,0.0
1983,EP021983,0.0
1983,EP021983,5.0
1983,EP021983,10.0
1983,EP021983,10.0
1983,EP021983,10.0
1983,EP021983,5.0
1983,EP021983,0.0
1983,EP021983,13.0
1983,EP021983,25.0
1983,EP021983,20.0
1983,EP021983,15.0
1984,EP021984,0.0
1984,EP021984,3.0
1984,EP021984,5.0
1984,EP021984,7.0
1984,EP021984,10.0
1984,EP021984,10.0
1984,EP021984,10.0
1984,EP021984,5.0
1984,EP021984,0.0
1984,EP021984,3.0
1984,EP021984,5.0
1985,EP021985,0.0
1985,EP021985,5.0
1985,EP021985,10.0
1985,EP021985,15.0
1985,EP021985,20.0
1985,EP021985,10.0
1985,EP021985,0.0
1985,EP021985,0.0
1985,EP021985,0.0
1985,EP021985,0.0
1985,EP021985,0.0
1985,EP021985,0.0
1985,EP021985,0.0
1985,EP021985,3.0
1985,EP021985,5.0
1985,EP021985,5.0
1985,EP021985,5.0
1985,EP021985,5.0
1985,EP021985,5.0
1985,EP021985,5.0
1985,EP021985,5.0
1985,EP021985,-3.0
1985,EP021985,-10.0
1985,EP021985,0.0
1985,EP021985,10.0
1985,EP021985,5.0
1985,EP021985,0.0
1985,EP021985,0.0
1985,EP021985,0.0
1985,EP021985,0.0
1985,EP021985,0.0
1985,EP021985,0.0
1985,EP021985,0.0
1985,EP021985,3.0
1985,EP021985,5.0
1985,EP021985,2.0
1985,EP021985,0.0
1985,EP021985,0.0
1985,EP021985,0.0
1985,EP021985,0.0
1985,EP021985,0.0
1985,EP021985,0.0
1985,EP021985,0.0
1985,EP021985,0.0
1985,EP021985,0.0
1985,EP021985,5.0
1985,EP021985,10.0
1985,EP021985,5.0
1985,EP021985,0.0
1985,EP021985,0.0
1985,EP021985,0.0
1985,EP021985,3.0
1985,EP021985,5.0
1987,EP021987,0.0
1987,EP021987,0.0
1987,EP021987,0.0
1987,EP021987,0.0
1987,EP021987,0.0
1987,EP021987,3.0
1987,EP021987,5.0
1987,EP021987,5.0
1987,EP021987,5.0
1988,EP021988,5.0
1988,EP021988,2.0
1988,EP021988,0.0
1988,EP021988,3.0
1988,EP021988,5.0
1989,EP021989,10.0
1989,EP021989,8.0
1989,EP021989,5.0
1989,EP021989,5.0
1989,EP021989,5.0
1989,EP021989,5.0
1989,EP021989,5.0
1989,EP021989,5.0
1989,EP021989,5.0
1989,EP021989,5.0
1989,EP021989,5.0
1990,EP021990,10.0
1990,EP021990,8.0
1990,EP021990,5.0
1990,EP021990,7.0
1990,EP021990,10.0
1990,EP021990,8.0
1990,EP021990,5.0
1990,EP021990,7.0
1990,EP021990,10.0
1990,EP021990,8.0
1990,EP021990,5.0
1991,EP021991,5.0
1991,EP021991,2.0
1991,EP021991,0.0
1991,EP021991,3.0
1991,EP021991,5.0
1991,EP021991,2.0
1991,EP021991,0.0
1991,EP021991,0.0
1991,EP021991,0.0
1991,EP021991,0.0
1991,EP021991,0.0
1991,EP021991,0.0
1991,EP021991,0.0
1991,EP021991,0.0
1991,EP021991,0.0
1991,EP021991,0.0
1991,EP021991,0.0
1991,EP021991,0.0
1991,EP021991,0.0
1991,EP021991,3.0
1991,EP021991,5.0
1991,EP021991,5.0
1991,EP021991,5.0
1993,EP021993,0.0
1993,EP021993,3.0
1993,EP021993,5.0
1993,EP021993,5.0
1993,EP021993,5.0
1993,EP021993,5.0
1993,EP021993,5.0
1993,EP021993,5.0
