year,ID,start_V,end_V,LMI,duration_before_LMI,duration_after_LMI,intensity_range_1,intensity_range_2,total_intensity_range,start_P,end_P,LMP,type,start_lat,LMI_lat,end_lat
1982,EP011982,35.0,25.0,55.0,31.5,157.5,20.0,30.0,50.0,,,,medium,12.8,14.1,15.7
1983,EP011983,35.0,33.0,95.0,64.5,100.5,60.0,62.0,122.0,,,,medium,8.0,11.4,22.9
1984,EP011984,35.0,30.0,50.0,22.5,55.5,15.0,20.0,35.0,,,,short,9.3,9.5,9.6
1985,EP011985,35.0,25.0,60.0,43.5,115.5,25.0,35.0,60.0,,,,medium,15.7,17.0,15.8
1986,EP011986,35.0,25.0,65.0,43.5,85.5,30.0,40.0,70.0,,,,medium,10.3,15.8,13.9
1987,EP011987,35.0,20.0,40.0,7.5,31.5,5.0,20.0,25.0,,,,short,11.8,12.3,13.5
1988,EP011988,35.0,15.0,60.0,25.5,85.5,25.0,45.0,70.0,1004.0,1012.0,992.0,medium,14.8,16.1,17.0
1989,EP011989,35.0,25.0,55.0,19.5,91.5,20.0,30.0,50.0,1004.0,1010.0,994.0,medium,10.5,11.3,15.9
1990,EP011990,35.0,20.0,75.0,55.5,55.5,40.0,55.0,95.0,1005.0,1009.0,979.0,medium,11.7,13.4,14.0
1991,EP011991,35.0,25.0,55.0,13.5,61.5,20.0,30.0,50.0,1005.0,1009.0,994.0,short,11.0,10.7,10.9
1992,EP011992,35.0,20.0,60.0,19.5,73.5,25.0,40.0,65.0,1001.0,1009.0,990.0,short,12.5,15.0,17.4
1993,EP011993,35.0,25.0,75.0,91.5,85.5,40.0,50.0,90.0,1005.0,1011.0,979.0,medium,9.9,13.0,13.5
1994,EP011994,35.0,25.0,45.0,19.5,79.5,10.0,20.0,30.0,1005.0,1010.0,999.0,short,13.5,13.8,18.3
1996,EP011996,35.0,25.0,45.0,10.5,61.5,10.0,20.0,30.0,1005.0,1009.0,1000.0,short,11.7,12.1,14.2
1997,EP011997,35.0,25.0,45.0,37.5,73.5,10.0,20.0,30.0,1005.0,1003.0,998.0,medium,11.4,14.6,13.0
1998,EP011998,35.0,20.0,55.0,22.5,67.5,20.0,35.0,55.0,1003.0,1009.0,993.0,short,13.2,16.3,19.9
1999,EP011999,35.0,25.0,85.0,49.5,49.5,50.0,60.0,110.0,1004.0,1004.0,973.0,short,14.2,17.8,18.8
2000,EP012000,35.0,25.0,90.0,37.5,79.5,55.0,65.0,120.0,1002.0,1005.0,970.0,medium,14.5,14.8,16.1
2001,EP012001,35.0,30.0,125.0,55.5,91.5,90.0,95.0,185.0,1004.0,1006.0,940.0,medium,13.6,15.0,16.4
2002,EP012002,35.0,25.0,100.0,91.5,55.5,65.0,75.0,140.0,1004.0,1009.0,960.0,medium,10.7,15.3,17.8
2003,EP012003,35.0,28.0,50.0,16.5,112.5,15.0,22.0,37.0,1004.0,1008.0,997.0,medium,9.6,9.7,14.4
2004,EP012004,35.0,25.0,50.0,13.5,34.5,15.0,25.0,40.0,1005.0,1006.0,997.0,short,16.0,17.1,18.8
2005,EP012005,35.0,20.0,70.0,43.5,31.5,35.0,50.0,85.0,1004.0,1008.0,983.0,short,10.1,12.5,13.4
2006,EP012006,35.0,25.0,40.0,13.5,64.5,5.0,15.0,20.0,1003.0,1007.0,1002.0,short,15.5,15.6,16.3
2007,EP012007,35.0,25.0,35.0,1.5,70.5,0.0,10.0,10.0,1004.0,1008.0,1003.0,short,12.8,12.8,12.8
2008,EP012008,35.0,25.0,55.0,13.5,19.5,20.0,30.0,50.0,1002.0,1006.0,994.0,short,10.7,12.0,15.0
2010,EP012010,35.0,20.0,40.0,13.5,16.5,5.0,20.0,25.0,1004.0,1007.0,1001.0,short,13.0,13.9,15.5
2011,EP012011,35.0,35.0,120.0,49.5,58.5,85.0,85.0,170.0,1003.0,1004.0,944.0,medium,11.7,14.5,16.1
