year,ID,start_V,end_V,LMI,duration_before_LMI,duration_after_LMI,intensity_range_1,intensity_range_2,total_intensity_range,start_P,end_P,LMP,type,start_lat,LMI_lat,end_lat
1982,WP011982,35.0,15.0,60.0,85.5,142.5,25.0,45.0,70.0,1004.0,1006.0,990.0,long,7.7,8.2,12.1
1983,WP011983,35.0,15.0,35.0,1.5,34.5,0.0,20.0,20.0,998.0,1000.0,998.0,short,15.6,15.6,19.0
1984,WP011984,35.0,25.0,40.0,7.5,43.5,5.0,15.0,20.0,998.0,1002.0,994.0,short,14.2,14.8,17.3
1985,WP011985,35.0,25.0,40.0,7.5,97.5,5.0,15.0,20.0,1000.0,1006.0,1000.0,medium,7.1,8.3,23.0
1986,WP011986,35.0,30.0,85.0,79.5,25.5,50.0,55.0,105.0,996.0,1008.0,970.0,medium,5.7,18.6,18.8
1987,WP011987,35.0,30.0,95.0,61.5,79.5,60.0,65.0,125.0,1004.0,1004.0,955.0,medium,7.0,10.2,5.5
1988,WP011988,35.0,29.0,115.0,55.5,205.5,80.0,86.0,166.0,992.0,1008.0,940.0,long,7.9,9.9,12.0
1989,WP011989,35.0,20.0,55.0,127.5,73.5,20.0,35.0,55.0,1012.0,1006.0,1000.0,long,20.8,15.2,11.6
1990,WP011990,35.0,40.0,75.0,43.5,46.5,40.0,35.0,75.0,996.0,996.0,980.0,short,9.8,15.5,23.2
1991,WP011991,35.0,25.0,60.0,61.5,157.5,25.0,35.0,60.0,996.0,1008.0,985.0,long,6.6,6.4,11.0
1992,WP011992,35.0,25.0,70.0,49.5,184.5,35.0,45.0,80.0,998.0,1008.0,980.0,long,6.1,6.0,26.7
1997,WP011997,35.0,30.0,50.0,19.5,61.5,15.0,20.0,35.0,1004.0,1002.0,1000.0,short,6.2,6.9,10.5
1999,WP011999,35.0,30.0,35.0,1.5,19.5,0.0,5.0,5.0,,,,short,9.3,9.3,10.9
2000,WP012000,35.0,25.0,155.0,85.5,64.5,120.0,130.0,250.0,1000.0,995.0,930.0,medium,11.8,18.6,28.5
2002,WP012002,35.0,20.0,50.0,25.5,37.5,15.0,30.0,45.0,1002.0,1004.0,996.0,short,11.3,13.8,19.0
2003,WP012003,35.0,20.0,50.0,43.5,67.5,15.0,30.0,45.0,1004.0,1004.0,1000.0,medium,10.5,14.5,18.5
2004,WP012004,35.0,20.0,40.0,7.5,133.5,5.0,20.0,25.0,1002.0,1004.0,1000.0,medium,13.4,14.0,8.5
2005,WP012005,35.0,32.0,65.0,73.5,34.5,30.0,33.0,63.0,998.0,1002.0,985.0,medium,6.8,16.3,18.6
2006,WP012006,35.0,25.0,35.0,1.5,79.5,0.0,10.0,10.0,1000.0,1002.0,1000.0,short,5.5,5.5,3.6
2007,WP012007,35.0,29.0,100.0,67.5,58.5,65.0,71.0,136.0,1002.0,1001.0,960.0,medium,8.6,17.7,26.8
2008,WP012008,35.0,23.0,40.0,7.5,46.5,5.0,17.0,22.0,1000.0,1003.0,1000.0,short,12.8,12.4,7.3
2009,WP012009,35.0,50.0,115.0,55.5,58.5,80.0,65.0,145.0,1002.0,983.0,940.0,medium,13.4,17.2,27.1
2013,WP012013,35.0,19.0,40.0,25.5,121.5,5.0,21.0,26.0,1002.0,1008.0,990.0,medium,8.5,8.0,3.3
2015,WP012015,35.0,15.0,70.0,49.5,91.5,35.0,55.0,90.0,998.0,1012.0,975.0,medium,11.5,11.4,17.3
